DataHora ; Protocolo ; IP_Origem ; IP_Destino ; Protocolo_Camada4 ; Tamanho
DataHora ; Protocolo ; IP_Origem ; IP_Destino ; Protocolo_Camada4 ; Tamanho
2025-06-18 18:49:27 ; IPv4 ; 172.31.66.101 ; 8.8.8.8 ; ICMP ; 118
2025-06-18 18:49:27 ; IPv4 ; 8.8.8.8 ; 172.31.66.101 ; ICMP ; 84
2025-06-18 18:49:28 ; IPv4 ; 172.31.66.101 ; 8.8.8.8 ; ICMP ; 118
2025-06-18 18:49:28 ; IPv4 ; 8.8.8.8 ; 172.31.66.101 ; ICMP ; 84
2025-06-18 18:49:29 ; IPv4 ; 172.31.66.101 ; 8.8.8.8 ; ICMP ; 118
2025-06-18 18:49:29 ; IPv4 ; 8.8.8.8 ; 172.31.66.101 ; ICMP ; 84
2025-06-18 18:49:30 ; IPv4 ; 172.31.66.101 ; 8.8.8.8 ; ICMP ; 118
2025-06-18 18:49:30 ; IPv4 ; 8.8.8.8 ; 172.31.66.101 ; ICMP ; 84
2025-06-18 18:51:17 ; IPv4 ; 172.31.66.101 ; 1.1.1.1 ; TCP ; 94
2025-06-18 18:51:17 ; IPv4 ; 1.1.1.1 ; 172.31.66.101 ; TCP ; 48
2025-06-18 18:51:17 ; IPv4 ; 172.31.66.101 ; 1.1.1.1 ; TCP ; 74
2025-06-18 18:51:17 ; IPv4 ; 172.31.66.101 ; 1.1.1.1 ; TCP ; 145
2025-06-18 18:51:17 ; IPv4 ; 1.1.1.1 ; 172.31.66.101 ; TCP ; 40
2025-06-18 18:51:17 ; IPv4 ; 1.1.1.1 ; 172.31.66.101 ; TCP ; 426
2025-06-18 18:51:17 ; IPv4 ; 172.31.66.101 ; 1.1.1.1 ; TCP ; 74
2025-06-18 18:51:17 ; IPv4 ; 172.31.66.101 ; 1.1.1.1 ; TCP ; 74
2025-06-18 18:51:17 ; IPv4 ; 1.1.1.1 ; 172.31.66.101 ; TCP ; 40
2025-06-18 18:51:17 ; IPv4 ; 1.1.1.1 ; 172.31.66.101 ; TCP ; 40
2025-06-18 18:51:17 ; IPv4 ; 172.31.66.101 ; 1.1.1.1 ; TCP ; 74
2025-06-18 18:52:04 ; IPv4 ; 172.31.66.101 ; 8.8.8.8 ; UDP ; 63
2025-06-18 18:52:46 ; IPv4 ; 172.31.66.101 ; 172.31.66.1 ; UDP ; 1502
2025-06-18 18:52:46 ; IPv4 ; 172.31.66.101 ; 172.31.66.1 ; UDP ; 84
2025-06-18 18:52:46 ; IPv4 ; 172.31.66.1 ; 172.31.66.101 ; ICMP ; 576
2025-06-18 18:52:46 ; IPv4 ; 172.31.66.101 ; 172.31.66.1 ; UDP ; 1502
2025-06-18 18:52:46 ; IPv4 ; 172.31.66.101 ; 172.31.66.1 ; UDP ; 84
2025-06-18 18:52:46 ; IPv4 ; 172.31.66.1 ; 172.31.66.101 ; ICMP ; 576
2025-06-18 18:52:46 ; IPv4 ; 172.31.66.101 ; 172.31.66.1 ; UDP ; 1502
2025-06-18 18:52:46 ; IPv4 ; 172.31.66.101 ; 172.31.66.1 ; UDP ; 84
2025-06-18 18:52:46 ; IPv4 ; 172.31.66.1 ; 172.31.66.101 ; ICMP ; 576
2025-06-18 18:52:46 ; IPv4 ; 172.31.66.101 ; 172.31.66.1 ; UDP ; 1502
2025-06-18 18:52:46 ; IPv4 ; 172.31.66.101 ; 172.31.66.1 ; UDP ; 84
2025-06-18 18:52:46 ; IPv4 ; 172.31.66.1 ; 172.31.66.101 ; ICMP ; 576
2025-06-18 18:52:46 ; IPv4 ; 172.31.66.101 ; 172.31.66.1 ; UDP ; 1502
2025-06-18 18:52:46 ; IPv4 ; 172.31.66.101 ; 172.31.66.1 ; UDP ; 84
2025-06-18 18:52:46 ; IPv4 ; 172.31.66.1 ; 172.31.66.101 ; ICMP ; 576
2025-06-18 18:52:46 ; IPv4 ; 172.31.66.101 ; 172.31.66.1 ; UDP ; 1502
2025-06-18 18:52:46 ; IPv4 ; 172.31.66.101 ; 172.31.66.1 ; UDP ; 84
2025-06-18 18:52:46 ; IPv4 ; 172.31.66.1 ; 172.31.66.101 ; ICMP ; 576
2025-06-18 18:52:46 ; IPv4 ; 172.31.66.101 ; 172.31.66.1 ; UDP ; 1502
2025-06-18 18:52:46 ; IPv4 ; 172.31.66.101 ; 172.31.66.1 ; UDP ; 84
2025-06-18 18:52:46 ; IPv4 ; 172.31.66.101 ; 172.31.66.1 ; UDP ; 1502
2025-06-18 18:52:46 ; IPv4 ; 172.31.66.101 ; 172.31.66.1 ; UDP ; 84
2025-06-18 18:52:46 ; IPv4 ; 172.31.66.101 ; 172.31.66.1 ; UDP ; 1502
2025-06-18 18:52:46 ; IPv4 ; 172.31.66.101 ; 172.31.66.1 ; UDP ; 84
2025-06-18 18:52:46 ; IPv4 ; 172.31.66.101 ; 172.31.66.1 ; UDP ; 1502
